[[ value: 'var', index: 0, type: 'KEYWORD' ]
, [ value: 'a', index: 1, type: 'IDENTIFIER' ]
, [ value: '=', index: 2, type: 'ASSIGNMENT_OPERATOR' ]
, [ value: 'b', index: 3, type: 'IDENTIFIER' ]
, [ value: 'var', index: 4, type: 'KEYWORD' ]
, [ value: 'b', index: 5, type: 'IDENTIFIER' ]
, [ value: '=', index: 6, type: 'ASSIGNMENT_OPERATOR' ]
, [ value: '10', index: 7, type: 'NUMBER' ]
, [ value: 'a', index: 8, type: 'IDENTIFIER' ]
, [ value: 'equal', index: 9, type: 'IDENTIFIER' ]
, [ value: '10', index: 10, type: 'NUMBER' ]
, [ value: 'a', index: 11, type: 'IDENTIFIER' ]
, [ value: '<', index: 12, type: 'RELATIONAL_OPERATOR' ]
, [ value: '10', index: 13, type: 'NUMBER' ]
, [ value: 'a', index: 14, type: 'IDENTIFIER' ]
, [ value: '>', index: 15, type: 'RELATIONAL_OPERATOR' ]
, [ value: '10@', index: 16, type: 'INVALID_TOKEN' ]
, [ value: 'var', index: 17, type: 'KEYWORD' ]
, [ value: 'name1', index: 18, type: 'IDENTIFIER' ]
, [ value: 'var', index: 19, type: 'KEYWORD' ]
, [ value: 'name2', index: 20, type: 'IDENTIFIER' ]
, [ value: 'fun', index: 21, type: 'KEYWORD' ]
, [ value: 'a', index: 22, type: 'IDENTIFIER' ]
, [ value: '=', index: 23, type: 'ASSIGNMENT_OPERATOR' ]
, [ value: 'var', index: 24, type: 'KEYWORD' ]
, [ value: 'var1', index: 25, type: 'IDENTIFIER' ]
, [ value: '+', index: 26, type: 'ARITHMETIC_OPERATOR' ]
, [ value: 'var2', index: 27, type: 'IDENTIFIER' ]
, [ value: 'EOF', index: 28, type: 'EOF' ]
]
